Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,0.004075,51.533641,0.001560,
MMA CUDA,72.883241,0.013763,0.015268,True,0,0,
MMA CUDA Shared,0.297763,0.013809,0.016765,False,0.000000,0.000001,
MMA Tensor,0.299435,0.002375,0.014018,False,8.518689,1.348839,
MMA Tensor Shared,0.102480,0.001499,0.008496,False,8.518689,1.348839,

Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,0.015945,2.182851,0.000894,
MMA CUDA,0.112518,0.012529,0.025854,False,0.000001,0.000002,
MMA CUDA Shared,0.092341,0.004687,0.019262,False,0.000002,0.000003,
MMA Tensor,0.139500,0.004373,0.017800,False,1.459594,2.580213,
MMA Tensor Shared,0.147657,0.004546,0.018397,False,nan,nan,

Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,0.068242,0.178740,0.003390,
MMA CUDA,0.114374,0.004412,0.044859,False,0.000004,0.000007,
MMA CUDA Shared,0.103137,0.003720,0.035933,False,0.000004,0.000007,
MMA Tensor,0.245355,0.003502,0.036331,False,2.474661,4.115215,
MMA Tensor Shared,0.245308,0.003627,0.028281,False,30.771365,3.799429,

Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,0.287035,1.012050,0.015666,
MMA CUDA,0.215653,0.005564,0.153030,False,0.000011,0.000019,
MMA CUDA Shared,0.191327,0.004288,0.160931,False,0.000012,0.000019,
MMA Tensor,0.756479,0.004163,0.092920,False,3.823311,6.243801,
MMA Tensor Shared,0.766335,0.004032,0.200366,False,62.707971,6.184758,

Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,1.326783,6.432431,0.733434,
MMA CUDA,0.745853,0.013703,1.612471,False,0.000032,0.000051,
MMA CUDA Shared,0.649932,0.005126,1.564219,False,0.000032,0.000051,
MMA Tensor,3.062961,0.005799,1.087679,False,5.411092,8.751099,
MMA Tensor Shared,2.882694,0.005929,1.095310,False,125.578663,10.490389,

Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,5.534651,61.082068,3.401998,
MMA CUDA,2.454078,0.017757,8.222839,False,0.000089,0.000142,
MMA CUDA Shared,2.190474,0.018668,7.047012,False,0.000089,0.000143,
MMA Tensor,13.985343,0.016339,3.487219,False,7.685422,12.384237,
MMA Tensor Shared,11.770845,0.021309,3.887145,False,251.018633,20.559182,

Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,21.089819,368.788882,12.455383,
MMA CUDA,7.060393,0.012235,28.112348,False,0.000249,0.000399,
MMA CUDA Shared,7.433620,0.015766,27.600086,False,0.000250,0.000401,
MMA Tensor,40.957806,0.010613,10.179970,False,11.262594,18.092839,
MMA Tensor Shared,41.046865,0.012495,8.859352,False,502.005498,40.188434,

Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,79.954166,3545.713071,31.413965,
MMA CUDA,27.361351,0.013955,295.939235,False,0.000700,0.001120,
MMA CUDA Shared,27.689396,0.014758,201.026095,False,0.000701,0.001122,
MMA Tensor,164.396166,0.014149,58.148160,False,15.813443,25.347489,
MMA Tensor Shared,165.705786,0.013480,43.185726,False,1004.000452,78.651606,

Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,error mean (to CPU),error deviation (to CPU),
MMA CPU,322.350515,47877.826274,96.959222,
MMA CUDA,118.663195,0.015195,1769.771248,False,0.001972,0.003143,
MMA CUDA Shared,104.994526,0.013801,1554.420003,False,0.001974,0.003145,
MMA Tensor,678.462581,0.012742,383.950081,False,22.590558,36.133587,
MMA Tensor Shared,683.264955,0.012431,256.971345,False,2007.898544,155.888064,